Year,race,group,,,,,,,,,,White,Black,American Indian (includes Aleuts and Eskimos),Chinese,Japanese,Hawaiian (includes Part-Hawaiian),Filipino,Asian Indian,Korean,Samoan,Vietnamese,Guamanian,Other Asian or Pacific Islander in areas reporting codes 18-58,"Combined other Asian or Pacific Islander, "
2005,0.0045409492,a,,,,,,,,,2005,0.0045409492,0.0304680816,0.0208901651,0.005190491,0.0021895527,0.0032948929,0.0046751969,0.0138304269,0.0100944318,0.0282608696,0.0175298805,0.0108108108,0.0264451827,0.0127423823
2008,0.0045414355,a,,a,White,,,,,,2008,0.0045414355,0.0296551796,0.0185848483,0.0035918843,0.001339485,0.0028901734,0.0051730084,0.0140280561,0.0083960625,0.0240700219,0.0083044983,0.0098522167,0.0145170296,0.0118518519
2009,0.0043431734,a,,b,Black,,,,,,2009,0.0043431734,0.0282652532,0.0184987311,0.0040202929,0.0011706175,0.0032520325,0.003927289,0.0112591912,0.0068738793,0.0142276423,0.0142714902,0.0183486239,0.0149612318,0.009391771
2013,0.0037399768,a,,c,American Indian (includes Aleuts and Eskimos),,,,,,2013,0.0037399768,0.0274368041,0.0150600645,0.0035565177,0.0006497726,0.0030864198,0.0028925246,0.0065495208,0.0041933348,0.012987013,0.0098554534,0.0128205128,0.0114524832,0.0081632653
2014,0.0036060513,a,,d,Chinese,,,,,,2014,0.0036060513,0.0262776128,0.0160834119,0.003384222,0.0011030764,0.0057142857,0.0040635723,0.006048982,0.0055189981,0.0144462279,0.0077345817,0.003164557,0.0093853726,0.0120652945
2015,0.0038068403,a,,e,Japanese,,,,,,2015,0.0038068403,0.0293647255,0.015965548,0.0032355776,0.0014097744,0.0066755674,0.0027406362,0.0073791662,0.0057717371,0.0189781022,0.0070043103,0.010230179,0.0109489051,0.0096742986
2005,0.0304680816,b,,h,Asian Indian,,,,,,,,,,,,,,,,,,,,
2008,0.0296551796,b,,i,Korean,,,,,,,,,,,,,,,,,,,,
2009,0.0282652532,b,,l,Guamanian,,,,,,,,,,,,,,,,,,,,
2013,0.0274368041,b,,,,,,,,,,,,,,,,,,,,,,,
2014,0.0262776128,b,,,,,,,,,,,,,,,,,,,,,,,
2015,0.0293647255,b,,,,,,,,,,,,,,,,,,,,,,,
2005,0.0208901651,c,,,,,,,,,,,,,,,,,,,,,,,
2008,0.0185848483,c,,,,,,,,,,,,,,,,,,,,,,,
2009,0.0184987311,c,,,,,,,,,,,,,,,,,,,,,,,
2013,0.0150600645,c,,,,,,,,,,,,,,,,,,,,,,,
2014,0.0160834119,c,,,,,,,,,,,,,,,,,,,,,,,
2015,0.015965548,c,,,,,,,,,,,,,,,,,,,,,,,
2005,0.005190491,d,,,,,,,,,,,,,,,,,,,,,,,
2008,0.0035918843,d,,,,,,,,,,,,,,,,,,,,,,,
2009,0.0040202929,d,,,,,,,,,,,,,,,,,,,,,,,
2013,0.0035565177,d,,,,,,,,,,,,,,,,,,,,,,,
2014,0.003384222,d,,,,,,,,,,,,,,,,,,,,,,,
2015,0.0032355776,d,,,,,,,,,,,,,,,,,,,,,,,
2005,0.0021895527,e,,,,,,,,,,,,,,,,,,,,,,,
2008,0.001339485,e,,,,,,,,,,,,,,,,,,,,,,,
2009,0.0011706175,e,,,,,,,,,,,,,,,,,,,,,,,
2013,0.0006497726,e,,,,,,,,,,,,,,,,,,,,,,,
2014,0.0011030764,e,,,,,,,,,,,,,,,,,,,,,,,
2015,0.0014097744,e,,,,,,,,,,,,,,,,,,,,,,,
2005,0.0138304269,h,,,,,,,,,,,,,,,,,,,,,,,
2008,0.0140280561,h,,,,,,,,,,,,,,,,,,,,,,,
2009,0.0112591912,h,,,,,,,,,,,,,,,,,,,,,,,
2013,0.0065495208,h,,,,,,,,,,,,,,,,,,,,,,,
2014,0.006048982,h,,,,,,,,,,,,,,,,,,,,,,,
2015,0.0073791662,h,,,,,,,,,,,,,,,,,,,,,,,
2005,0.0100944318,i,,,,,,,,,,,,,,,,,,,,,,,
2008,0.0083960625,i,,,,,,,,,,,,,,,,,,,,,,,
2009,0.0068738793,i,,,,,,,,,,,,,,,,,,,,,,,
2013,0.0041933348,i,,,,,,,,,,,,,,,,,,,,,,,
2014,0.0055189981,i,,,,,,,,,,,,,,,,,,,,,,,
2015,0.0057717371,i,,,,,,,,,,,,,,,,,,,,,,,
2005,0.0108108108,l,,,,,,,,,,,,,,,,,,,,,,,
2008,0.0098522167,l,,,,,,,,,,,,,,,,,,,,,,,
2009,0.0183486239,l,,,,,,,,,,,,,,,,,,,,,,,
2013,0.0128205128,l,,,,,,,,,,,,,,,,,,,,,,,
2014,0.003164557,l,,,,,,,,,,,,,,,,,,,,,,,
2015,0.010230179,l,,,,,,,,,,,,,,,,,,,,,,,
