Year,race,group,,,,,,,,,,White,Black,American Indian (includes Aleuts and Eskimos),Chinese,Japanese,Hawaiian (includes Part-Hawaiian),Filipino,Asian Indian,Korean,Samoan,Vietnamese,Guamanian,Other Asian or Pacific Islander in areas reporting codes 18-58,"Combined other Asian or Pacific Islander, "
2005,0.6448109794,a,,,,,,,,,2005,0.6448109794,0.5519566173,0.5995692749,0.2297311326,0.1696903347,0.2191103789,0.2048474409,0.4440769693,0.249430153,0.2282608696,0.3486055777,0.3621621622,0.4558139535,0.0681440443
2008,0.7192902253,a,,a,White,,,,,,2008,0.7192902253,0.6194441855,0.6837196729,0.3268614698,0.5930942104,0.7687861272,0.4145304058,0.5433366733,0.3940359004,0.5711159737,0.4238754325,0.5270935961,0.4929089894,0.7165432099
2009,0.7263379606,a,,b,Black,,,,,,2009,0.7263379606,0.6249734447,0.7009483104,0.3229635302,0.6052092479,0.7902439024,0.4220152603,0.5395220588,0.4061566049,0.5792682927,0.4271490209,0.495412844,0.5138145681,0.7186940966
2013,0.7672581579,a,,c,American Indian (includes Aleuts and Eskimos),,,,,,2013,0.7672581579,0.7304760744,0.7019630823,0.4676820782,0.5955815465,0.7839506173,0.4485221007,0.7086261981,0.5135731627,0.547309833,0.4826982041,0.6314102564,0.5779099218,0.7369202226
2014,0.7906455916,a,,d,Chinese,,,,,,2014,0.7906455916,0.7755530641,0.7440519106,0.4752951794,0.6009314867,0.7885714286,0.448257179,0.7130421953,0.5003184037,0.6179775281,0.4834113576,0.5917721519,0.6039830605,0.7405961675
2015,0.7843916952,a,,e,Japanese,,,,,,2015,0.7843916952,0.7611789537,0.7286382018,0.4659920143,0.6047932331,0.7730307076,0.4470558924,0.6877382856,0.5023273133,0.5649635036,0.4881465517,0.6368286445,0.5816301703,0.7123508546
2005,0.5519566173,b,,h,Asian Indian,,,,,,,,,,,,,,,,,,,,
2008,0.6194441855,b,,i,Korean,,,,,,,,,,,,,,,,,,,,
2009,0.6249734447,b,,l,Guamanian,,,,,,,,,,,,,,,,,,,,
2013,0.7304760744,b,,,,,,,,,,,,,,,,,,,,,,,
2014,0.7755530641,b,,,,,,,,,,,,,,,,,,,,,,,
2015,0.7611789537,b,,,,,,,,,,,,,,,,,,,,,,,
2005,0.5995692749,c,,,,,,,,,,,,,,,,,,,,,,,
2008,0.6837196729,c,,,,,,,,,,,,,,,,,,,,,,,
2009,0.7009483104,c,,,,,,,,,,,,,,,,,,,,,,,
2013,0.7019630823,c,,,,,,,,,,,,,,,,,,,,,,,
2014,0.7440519106,c,,,,,,,,,,,,,,,,,,,,,,,
2015,0.7286382018,c,,,,,,,,,,,,,,,,,,,,,,,
2005,0.2297311326,d,,,,,,,,,,,,,,,,,,,,,,,
2008,0.3268614698,d,,,,,,,,,,,,,,,,,,,,,,,
2009,0.3229635302,d,,,,,,,,,,,,,,,,,,,,,,,
2013,0.4676820782,d,,,,,,,,,,,,,,,,,,,,,,,
2014,0.4752951794,d,,,,,,,,,,,,,,,,,,,,,,,
2015,0.4659920143,d,,,,,,,,,,,,,,,,,,,,,,,
2005,0.1696903347,e,,,,,,,,,,,,,,,,,,,,,,,
2008,0.5930942104,e,,,,,,,,,,,,,,,,,,,,,,,
2009,0.6052092479,e,,,,,,,,,,,,,,,,,,,,,,,
2013,0.5955815465,e,,,,,,,,,,,,,,,,,,,,,,,
2014,0.6009314867,e,,,,,,,,,,,,,,,,,,,,,,,
2015,0.6047932331,e,,,,,,,,,,,,,,,,,,,,,,,
2005,0.4440769693,h,,,,,,,,,,,,,,,,,,,,,,,
2008,0.5433366733,h,,,,,,,,,,,,,,,,,,,,,,,
2009,0.5395220588,h,,,,,,,,,,,,,,,,,,,,,,,
2013,0.7086261981,h,,,,,,,,,,,,,,,,,,,,,,,
2014,0.7130421953,h,,,,,,,,,,,,,,,,,,,,,,,
2015,0.6877382856,h,,,,,,,,,,,,,,,,,,,,,,,
2005,0.249430153,i,,,,,,,,,,,,,,,,,,,,,,,
2008,0.3940359004,i,,,,,,,,,,,,,,,,,,,,,,,
2009,0.4061566049,i,,,,,,,,,,,,,,,,,,,,,,,
2013,0.5135731627,i,,,,,,,,,,,,,,,,,,,,,,,
2014,0.5003184037,i,,,,,,,,,,,,,,,,,,,,,,,
2015,0.5023273133,i,,,,,,,,,,,,,,,,,,,,,,,
2005,0.3621621622,l,,,,,,,,,,,,,,,,,,,,,,,
2008,0.5270935961,l,,,,,,,,,,,,,,,,,,,,,,,
2009,0.495412844,l,,,,,,,,,,,,,,,,,,,,,,,
2013,0.6314102564,l,,,,,,,,,,,,,,,,,,,,,,,
2014,0.5917721519,l,,,,,,,,,,,,,,,,,,,,,,,
2015,0.6368286445,l,,,,,,,,,,,,,,,,,,,,,,,
