Year,race,group,,,,
2005,0.045848217,a,,,a,White
2008,0.047701081,a,,,b,Black
2009,0.047230276,a,,,c,American Indian (includes Aleuts and Eskimos)
2013,0.049441998,a,,,d,Chinese
2014,0.050784516,a,,,e,Japanese
2015,0.053271533,a,,,h,Asian Indian
2005,0.047356922,b,,,i,Korean
2008,0.043165567,b,,,l,Guamanian
2009,0.042457085,b,,,,
2013,0.044160535,b,,,,
2014,0.045540754,b,,,,
2015,0.049089815,b,,,,
2005,0.113208902,c,,,,
2008,0.109751977,c,,,,
2009,0.111860558,c,,,,
2013,0.105244653,c,,,,
2014,0.109367201,c,,,,
2015,0.108555223,c,,,,
2005,0.036644867,d,,,,
2008,0.031259101,d,,,,
2009,0.037331291,d,,,,
2013,0.038657801,d,,,,
2014,0.037752877,d,,,,
2015,0.036073248,d,,,,
2005,0.038160776,e,,,,
2008,0.031105819,e,,,,
2009,0.030436055,e,,,,
2013,0.033918129,e,,,,
2014,0.035053315,e,,,,
2015,0.035596805,e,,,,
2005,0.055021046,h,,,,
2008,0.054859719,h,,,,
2009,0.049402574,h,,,,
2013,0.043610224,h,,,,
2014,0.048982001,h,,,,
2015,0.05300701,h,,,,
2005,0.059264083,i,,,,
2008,0.052403011,i,,,,
2009,0.043933054,i,,,,
2013,0.045685279,i,,,,
2014,0.042453832,i,,,,
2015,0.048966673,i,,,,
2005,0.086486487,l,,,,
2008,0.073891626,l,,,,
2009,0.068807339,l,,,,
2013,0.064102564,l,,,,
2014,0.060126582,l,,,,
2015,0.058823529,l,,,,
