Year,race,group,,,,,,,,,,White,Black,American Indian (includes Aleuts and Eskimos),Chinese,Japanese,Hawaiian (includes Part-Hawaiian),Filipino,Asian Indian,Korean,Samoan,Vietnamese,Guamanian,Other Asian or Pacific Islander in areas reporting codes 18-58,"Combined other Asian or Pacific Islander, "
2005,0.0141681612,a,,,,,,,,,2005,0.0141681612,0.0068816486,0.028356066,0.0140143258,0.0111041602,0.0065897858,0.0086122047,0.0225496091,0.038749593,0.0108695652,0.0163346614,0.0054054054,0.0241860465,0.0232686981
2008,0.0154562292,a,,a,White,,,,,,2008,0.0154562292,0.0073300671,0.0277083193,0.0134938355,0.0105670487,0.0202312139,0.0109207955,0.0180360721,0.0370584829,0.010940919,0.0169550173,0.0049261084,0.0286990508,0.0286419753
2009,0.0161197539,a,,b,Black,,,,,,2009,0.0161197539,0.00732403,0.0289167891,0.014741074,0.0099502488,0.0130081301,0.0111086176,0.0218290441,0.0469216975,0.012195122,0.0265516097,0.0229357798,0.0265370755,0.0322003578
2013,0.0168747033,a,,c,American Indian (includes Aleuts and Eskimos),,,,,,2013,0.0168747033,0.0078230811,0.0307061236,0.0143033864,0.0098765432,0.0200617284,0.0116604899,0.0223642173,0.0342087839,0.0222634508,0.0194918966,0.0224358974,0.0260984473,0.0356215213
2014,0.0173945242,a,,d,Chinese,,,,,,2014,0.0173945242,0.0079126858,0.0272308802,0.0163946755,0.009314867,0.0085714286,0.0125519234,0.0219828858,0.0401188707,0.0240770465,0.0205577041,0.0284810127,0.0257525466,0.0290986515
2015,0.0173003973,a,,e,Japanese,,,,,,2015,0.0173003973,0.0078501305,0.0305656216,0.0174170453,0.0091635338,0.0213618158,0.0126235363,0.0199237486,0.0359337181,0.0233576642,0.0213721264,0.0230179028,0.0251824818,0.041599484
2005,0.0068816486,b,,h,Asian Indian,,,,,,,,,,,,,,,,,,,,
2008,0.0073300671,b,,i,Korean,,,,,,,,,,,,,,,,,,,,
2009,0.00732403,b,,l,Guamanian,,,,,,,,,,,,,,,,,,,,
2013,0.0078230811,b,,,,,,,,,,,,,,,,,,,,,,,
2014,0.0079126858,b,,,,,,,,,,,,,,,,,,,,,,,
2015,0.0078501305,b,,,,,,,,,,,,,,,,,,,,,,,
2005,0.028356066,c,,,,,,,,,,,,,,,,,,,,,,,
2008,0.0277083193,c,,,,,,,,,,,,,,,,,,,,,,,
2009,0.0289167891,c,,,,,,,,,,,,,,,,,,,,,,,
2013,0.0307061236,c,,,,,,,,,,,,,,,,,,,,,,,
2014,0.0272308802,c,,,,,,,,,,,,,,,,,,,,,,,
2015,0.0305656216,c,,,,,,,,,,,,,,,,,,,,,,,
2005,0.0140143258,d,,,,,,,,,,,,,,,,,,,,,,,
2008,0.0134938355,d,,,,,,,,,,,,,,,,,,,,,,,
2009,0.014741074,d,,,,,,,,,,,,,,,,,,,,,,,
2013,0.0143033864,d,,,,,,,,,,,,,,,,,,,,,,,
2014,0.0163946755,d,,,,,,,,,,,,,,,,,,,,,,,
2015,0.0174170453,d,,,,,,,,,,,,,,,,,,,,,,,
2005,0.0111041602,e,,,,,,,,,,,,,,,,,,,,,,,
2008,0.0105670487,e,,,,,,,,,,,,,,,,,,,,,,,
2009,0.0099502488,e,,,,,,,,,,,,,,,,,,,,,,,
2013,0.0098765432,e,,,,,,,,,,,,,,,,,,,,,,,
2014,0.009314867,e,,,,,,,,,,,,,,,,,,,,,,,
2015,0.0091635338,e,,,,,,,,,,,,,,,,,,,,,,,
2005,0.0225496091,h,,,,,,,,,,,,,,,,,,,,,,,
2008,0.0180360721,h,,,,,,,,,,,,,,,,,,,,,,,
2009,0.0218290441,h,,,,,,,,,,,,,,,,,,,,,,,
2013,0.0223642173,h,,,,,,,,,,,,,,,,,,,,,,,
2014,0.0219828858,h,,,,,,,,,,,,,,,,,,,,,,,
2015,0.0199237486,h,,,,,,,,,,,,,,,,,,,,,,,
2005,0.038749593,i,,,,,,,,,,,,,,,,,,,,,,,
2008,0.0370584829,i,,,,,,,,,,,,,,,,,,,,,,,
2009,0.0469216975,i,,,,,,,,,,,,,,,,,,,,,,,
2013,0.0342087839,i,,,,,,,,,,,,,,,,,,,,,,,
2014,0.0401188707,i,,,,,,,,,,,,,,,,,,,,,,,
2015,0.0359337181,i,,,,,,,,,,,,,,,,,,,,,,,
2005,0.0054054054,l,,,,,,,,,,,,,,,,,,,,,,,
2008,0.0049261084,l,,,,,,,,,,,,,,,,,,,,,,,
2009,0.0229357798,l,,,,,,,,,,,,,,,,,,,,,,,
2013,0.0224358974,l,,,,,,,,,,,,,,,,,,,,,,,
2014,0.0284810127,l,,,,,,,,,,,,,,,,,,,,,,,
2015,0.0230179028,l,,,,,,,,,,,,,,,,,,,,,,,
